일차,구분,뜻,표기
6일차,명사,실업,"失業 (しつぎょう)"
6일차,명사,습기,"湿気 (しっけ)"
6일차,명사,실현,"実現 (じつげん)"
6일차,명사,실행,"実行 (じっこう)"
6일차,명사,습도,"湿度 (しつど)"
6일차,명사,실력,"実力 (じつりょく)"
6일차,명사,실연,"失恋 (しつれん)"
6일차,명사,지정,"指定 (してい)"
6일차,명사,지정석,"指定席 (していせき)"
6일차,명사,사철 (사립 철도),"私鉄 (してつ)"
6일차,명사,지점,"支店 (してん)"
6일차,명사,지도,"指導 (しどう)"
6일차,명사,자동판매기,"自動販売機 (じどうはんばいき)"
6일차,명사,물품,"品 (しな)"
6일차,명사,차남,"次男 (じなん)"
6일차,명사,시발역,"始発駅 (しはつえき)"
6일차,명사,사망,"死亡 (しぼう)"
6일차,명사,자랑,"自慢 (じまん)"
6일차,명사,사무,"事務 (じむ)"
6일차,명사,성명,"氏名 (しめい)"
6일차,명사,마감,"締め切り (しめきり)"
6일차,명사,지면,"地面 (じめん)"
6일차,명사,수도꼭지,"蛇口 (じゃぐち)"
6일차,명사,차고,"車庫 (しゃこ)"
6일차,명사,사설 (신문),"社説 (しゃせつ)"
6일차,명사,차바퀴,"車輪 (しゃりん)"
6일차,명사,주위,"周囲 (しゅうい)"
7일차,명사,주간지,"週刊誌 (しゅうかんし)"
7일차,명사,주거,"住居 (じゅうきょ)"
7일차,명사,중시,"重視 (じゅうし)"
7일차,명사,취직,"就職 (しゅうしょく)"
7일차,명사,자유석,"自由席 (じゆうせき)"
7일차,명사,집중,"集中 (しゅうちゅう)"
7일차,명사,종점,"終点 (しゅうてん)"
7일차,명사,수입,"収入 (しゅうにゅう)"
7일차,명사,주변,"周辺 (しゅうへん)"
7일차,명사,주말,"週末 (しゅうまつ)"
7일차,명사,주민,"住民 (じゅうみん)"
7일차,명사,수리,"修理 (しゅうり)"
7일차,명사,수업료,"授業料 (じゅぎょうりょう)"
7일차,명사,축일 (공휴일),"祝日 (しゅくじつ)"
7일차,명사,축소,"縮小 (しゅくしょう)"
7일차,명사,숙박,"宿泊 (しゅくはく)"
7일차,명사,수험,"受験 (じゅけん)"
7일차,명사,수술,"手術 (しゅじゅつ)"
7일차,명사,수신,"受信 (じゅしん)"
7일차,명사,수단,"手段 (しゅだん)"
7일차,명사,주장,"主張 (しゅちょう)"
7일차,명사,출근,"出勤 (しゅっきん)"
7일차,명사,출혈,"出血 (しゅっけつ)"
7일차,명사,출현,"出現 (しゅつげん)"
7일차,명사,출장 (시합 등),"出場 (しゅつじょう)"
7일차,명사,출신,"出身 (しゅっしん)"
7일차,명사,출장 (업무),"出張 (しゅっちょう)"
7일차,명사,출판,"出版 (しゅっぱん)"
7일차,명사,수도 (도시),"首都 (しゅと)"
7일차,명사,주부,"主婦 (しゅふ)"
7일차,명사,수명,"寿命 (じゅみょう)"
7일차,명사,종류,"種類 (しゅるい)"
7일차,명사,수화기,"受話器 (じゅわき)"
7일차,명사,순번,"順番 (じゅんばん)"
7일차,명사,소화,"消化 (しょうか)"
7일차,명사,승객,"乗客 (じょうきゃく)"
7일차,명사,상급,"上級 (じょうきゅう)"
7일차,명사,상업,"商業 (しょうぎょう)"
7일차,명사,상하,"上下 (じょうげ)"
7일차,명사,조건,"条件 (じょうけん)"
7일차,명사,정오,"正午 (しょうご)"
7일차,명사,상사,"上司 (じょうし)"
7일차,명사,상식,"常識 (じょうしき)"
7일차,명사,승차,"乗車 (じょうしゃ)"
7일차,명사,승차권,"乗車券 (じょうしゃけん)"
7일차,명사,상순,"上旬 (じょうじゅん)"
7일차,명사,소녀,"少女 (しょうじょ)"
7일차,명사,증상,"症状 (しょうじょう)"
7일차,명사,농담,"冗談 (じょうだん)"
7일차,명사,상점,"商店 (しょうてん)"
7일차,명사,상인,"商人 (しょうにん)"
7일차,명사,소년,"少年 (しょうねん)"
7일차,명사,장사,"商売 (しょうばい)"
7일차,명사,소비,"消費 (しょうひ)"
7일차,명사,상품,"商品 (しょうひん)"
7일차,명사,상품 (경품),"賞品 (しょうひん)"
7일차,명사,소방,"消防 (しょうぼう)"
7일차,명사,정보,"情報 (じょうほう)"
7일차,명사,소방서,"消防署 (しょうぼうしょ)"
7일차,명사,증명,"証明 (しょうめい)"
7일차,명사,정면,"正面 (しょうめん)"
7일차,명사,사용료,"使用料 (しようりょう)"
7일차,명사,초급,"初級 (しょきゅう)"
7일차,명사,직업,"職業 (しょくぎょう)"
7일차,명사,식후,"食後 (しょくご)"
7일차,명사,식사비,"食事代 (しょくじだい)"
8일차,명사,직장,"職場 (しょくば)"
8일차,명사,식비,"食費 (しょくひ)"
