일차,구분,뜻,표기
30일차,인사,저야말로,こちらこそ
30일차,인사,미안합니다,ごめんなさい
30일차,인사,안녕하세요 (낮),こんにちは
30일차,인사,안녕하세요 (저녁),こんばんは
30일차,인사,안녕히 가세요,さようなら
30일차,인사,실례합니다,"失礼します (しつれいします)"
30일차,인사,죄송합니다,すみません
30일차,인사,천만에요,どういたしまして
30일차,인사,"네, 예",はい
30일차,인사,처음 뵙겠습니다,はじめまして
30일차,인사,여보세요,もしもし
